Subjects	ROIs	cond	x	y	regression line	R2	F-value	p-value	dataset
group	thalamus vs dentate	Rest	-0.017322218938502124	-0.027164617830387493	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
group	thalamus vs dentate	Word_reading	0.0009395995879396513	-0.013485297319793197	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
group	thalamus vs dentate	Verb_generation	-0.01826938535550548	-0.032415427130419776	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
group	thalamus vs dentate	Act_Obs_Act	0.01103154800797324	-0.005638845986137692	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
group	thalamus vs dentate	Act_Obs	-0.0055560510683852265	0.005861872925087488	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
group	thalamus vs dentate	Intact_passage	-0.00561639267617901	-0.012391568080018539	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
group	thalamus vs dentate	Degraded_passage	-0.004261396569888486	-0.014860459427806602	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
group	thalamus vs dentate	Tongue_movement	-0.0033969814536976206	0.03365378605218823	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
group	thalamus vs dentate	Finger_Seq	0.026055205976309264	0.04609746185539007	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
group	thalamus vs dentate	ToM	0.018946188337271998	0.02541370214474471	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
group	thalamus vs dentate	Aud_Narr	-0.00938564743920202	-0.01015800506089933	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
group	thalamus vs dentate	N_back	0.009418584472483393	0.006698975169098997	1.4183 * x + 0.0000	0.6316710183183205	27.43942723960739	8.120153574669276e-05	Language
